Time,NGear,nEngine,rThrottlePedal,pBrakeF,gLat,gLong,sLap,vCar,Lap,,
0,4,13422,0,56,0,-2,299,217.9,1,,
1,3,13383,10,1,2,0,352,149,1,,1
2,3,14145,55,1,1,0,397,139.2,1,,1
3,3,14584,99,1,-2,1,447,166,1,,1
4,4,16929,100,1,-2,1,486,193.3,1,,1
5,5,16273,100,1,-2,1,553,219.4,1,,1
6,5,17543,100,1,0,1,602,233.6,1,,1
8,6,17057,100,1,1,0,735,265.5,1,,2
10,7,16540,100,1,1,0,911,284.3,1,,2
11,7,12754,0,71,0,-3,995,257.1,1,,1
12,3,14555,0,43,0,-2,1035,176.9,1,,1
13,2,10663,0,13,2,-1,1075,108.1,1,,1
14,2,9934,5,1,2,0,1095,90.8,1,,1
15,2,12423,52,1,1,1,1123,91.4,1,,1
16,2,15797,77,1,0,1,1157,115,1,,1
18,3,13671,16,1,-3,0,1218,146.3,1,,2
19,3,15531,78,1,-2,1,1279,147.8,1,,1
20,3,15489,100,1,-1,1,1313,168.1,1,,1
21,4,17477,100,1,1,1,1375,202.6,1,,1
22,5,15651,74,1,3,0,1421,215.5,1,,1
24,5,17398,100,1,1,1,1563,237.5,1,,2
26,6,17006,100,1,0,0,1698,264.5,1,,2
27,6,14464,1,65,0,-3,1781,256,1,,1
28,3,15424,1,31,2,-1,1840,172.4,1,,1
29,3,12677,8,1,2,0,1883,134.7,1,,1
30,3,13665,57,1,2,1,1911,130.9,1,,1
31,3,16680,100,1,-2,1,1942,155.3,1,,1
32,4,16799,100,1,-1,1,1999,192.5,1,,1
33,5,17361,100,1,2,0,2043,214.7,1,,1
34,5,17446,100,1,2,1,2115,236.9,1,,1
35,6,15969,100,1,2,0,2167,248.8,1,,1
36,6,16799,100,1,2,0,2248,260.7,1,,1
38,6,12945,0,66,0,-3,2418,260.3,1,,2
39,4,12850,0,48,0,-2,2461,198.6,1,,1
40,2,13179,0,21,1,-1,2494,136.8,1,,1
41,2,12368,16,1,2,0,2541,106.8,1,,1
42,2,16137,77,1,-1,1,2565,118.7,1,,1
43,3,15251,81,1,-2,1,2593,144.6,1,,1
44,4,15378,100,1,-1,1,2645,181.5,1,,1
